algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
kmeans,2,0.3592663411814073,1.3732318351107395,1378.915463473643
kmeans,3,0.27374854269424803,1.224176677716774,1557.5481321355448
kmeans,4,0.28176187985115914,1.1383523323556037,1586.082405796706
kmeans,5,0.26915595097354006,1.1224505086548278,1565.6442568639156
kmeans,6,0.2763253383257196,1.1159320476496,1473.1078233113196
agglomerative,2,0.5404562082745726,0.7363649086320969,1178.7674221172297
agglomerative,3,0.2398509784926419,1.3635283274881458,1280.0776566989664
agglomerative,4,0.20966260279839832,1.2669993265805657,1250.934271359624
agglomerative,5,0.2257892447042545,1.2557341682038279,1294.4886469913745
agglomerative,6,0.22950081721392557,1.2165346315883188,1215.0825715495578
gmm,2,0.3178320750272919,1.7053426653916486,870.6076949513704
gmm,3,0.18134755462854815,1.5884954920673868,1065.3769842558181
gmm,4,0.14060624693934695,1.6092498748901907,886.0979770113012
gmm,5,0.08788501141917546,2.7688534137047247,668.2994228871943
gmm,6,0.05913785443900312,2.3656338968467816,609.3217432599292
