,PC1_loading,PC2_loading,abs_PC1,abs_PC2
walk_mean,0.20658645133694734,0.05070214629848971,0.20658645133694734,0.05070214629848971
walk_p90,0.20499077474125843,0.09141280908187577,0.20499077474125843,0.09141280908187577
walk_median,0.1986015565719691,0.023900704706008902,0.1986015565719691,0.023900704706008902
walk_p10,0.19291467114469943,0.003926236528760325,0.19291467114469943,0.003926236528760325
steps_mean,0.18886653104759946,0.12991280570843788,0.18886653104759946,0.12991280570843788
walk_min,0.18857444108679758,-0.0032408553553942587,0.18857444108679758,0.0032408553553942587
walk_max,0.1871705782296948,0.12562405043370364,0.1871705782296948,0.12562405043370364
graze_max,0.1870681261391285,-0.13516527680783683,0.1870681261391285,0.13516527680783683
graze_p90,0.1861266065962271,-0.13938750363881441,0.1861266065962271,0.13938750363881441
steps_median,0.18060026659806036,0.07790811880946397,0.18060026659806036,0.07790811880946397
graze_std,0.17895712952650739,-0.08168940662069425,0.17895712952650739,0.08168940662069425
graze_mean,0.1786332832345275,-0.14823824491825238,0.1786332832345275,0.14823824491825238
graze_median,0.17749682239608192,-0.14646516189431605,0.17749682239608192,0.14646516189431605
steps_p90,0.1768903939183379,0.1801151348401934,0.1768903939183379,0.1801151348401934
steps_p10,0.17638064523160654,0.06512549833971522,0.17638064523160654,0.06512549833971522
steps_min,0.1737137049018431,0.059748029277737806,0.1737137049018431,0.059748029277737806
walk_iqr,0.16585605544118212,0.09426257569051724,0.16585605544118212,0.09426257569051724
graze_p10,0.15810672424867098,-0.1551851358917923,0.15810672424867098,0.1551851358917923
graze_iqr,0.1579910902238845,-0.07676958183992146,0.1579910902238845,0.07676958183992146
ruminate_min,-0.15643019312055476,-0.03831728629216444,0.15643019312055476,0.03831728629216444
ruminate_p10,-0.15607805747537504,-0.008671828428035667,0.15607805747537504,0.008671828428035667
ruminate_cv,0.14982966763260963,0.08071763726315241,0.14982966763260963,0.08071763726315241
walk_std,0.14640135546279942,0.15730276385483666,0.14640135546279942,0.15730276385483666
steps_max,0.14593070702175867,0.20402879279567884,0.14593070702175867,0.20402879279567884
eat_cv,0.13920041501129923,0.05849248716452977,0.13920041501129923,0.05849248716452977
graze_min,0.1354718934555858,-0.15365917806478827,0.1354718934555858,0.15365917806478827
eat_min,-0.13537117428904025,0.20435096231295197,0.13537117428904025,0.20435096231295197
eat_p10,-0.1348490725589386,0.21112022911258532,0.1348490725589386,0.21112022911258532
ruminate_mean,-0.13262826678277098,0.027907813078848265,0.13262826678277098,0.027907813078848265
steps_iqr,0.1323510850745318,0.1399230162995007,0.1323510850745318,0.1399230162995007
ruminate_median,-0.12739606475544316,0.038190911205116904,0.12739606475544316,0.038190911205116904
eat_median,-0.12196521094655265,0.229922107463259,0.12196521094655265,0.229922107463259
ruminate_std,0.11648136704125611,0.10140330503091144,0.11648136704125611,0.10140330503091144
eat_mean,-0.11426660124630753,0.25171126649588815,0.11426660124630753,0.25171126649588815
steps_std,0.10224190588300257,0.20977384149490388,0.10224190588300257,0.20977384149490388
ruminate_p90,-0.09538654346009971,0.05461508384412052,0.09538654346009971,0.05461508384412052
ruminate_iqr,0.09200295139981762,0.0689577878022197,0.09200295139981762,0.0689577878022197
walk_cv,-0.08995517982074089,0.011128185283423532,0.08995517982074089,0.011128185283423532
ruminate_max,-0.08116107998047736,0.05543097575228915,0.08116107998047736,0.05543097575228915
rest_std,0.0800770057051767,0.0962247622246668,0.0800770057051767,0.0962247622246668
eat_p90,-0.07870028500538294,0.28131164158782906,0.07870028500538294,0.28131164158782906
eat_std,0.07514835691767664,0.1823959443310362,0.07514835691767664,0.1823959443310362
graze_cv,-0.07370300188431968,0.09720619946401075,0.07370300188431968,0.09720619946401075
rest_iqr,0.06774708105375346,0.054691363389731525,0.06774708105375346,0.054691363389731525
rest_cv,0.05954224378566551,0.16382310534220437,0.05954224378566551,0.16382310534220437
eat_iqr,0.05782447907527619,0.12617830808695435,0.05782447907527619,0.12617830808695435
eat_max,-0.046751489844744074,0.28343404885060597,0.046751489844744074,0.28343404885060597
steps_cv,0.03453262974665921,0.17678904373713647,0.03453262974665921,0.17678904373713647
rest_max,0.03068305939546991,-0.08677881742867578,0.03068305939546991,0.08677881742867578
rest_p90,0.026356613432265537,-0.09636005692172912,0.026356613432265537,0.09636005692172912
rest_min,-0.019636110687498882,-0.17934210891664823,0.019636110687498882,0.17934210891664823
rest_p10,-0.0123700519329248,-0.15692793000262092,0.0123700519329248,0.15692793000262092
rest_median,0.008473356692681023,-0.11725824616594865,0.008473356692681023,0.11725824616594865
rest_mean,0.008395807761709987,-0.12638325020305446,0.008395807761709987,0.12638325020305446
