algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.38235759351260534,1.5631595986305409,946.4067074848608
kmeans,k=3,3,0,0.23531265947468322,1.696331213335048,878.2596541285415
kmeans,k=4,4,0,0.1712918506370784,1.6128120037154696,852.7924743374786
kmeans,k=5,5,0,0.16928823790290384,1.530197292170254,796.9188370587543
kmeans,k=6,6,0,0.16451531102774133,1.5364423420396278,740.6180113208691
agglomerative,k=2,2,0,0.4385872238961958,1.1799911107060046,879.0602459915273
agglomerative,k=3,3,0,0.11856252496199453,1.97643440221713,713.0290230307954
agglomerative,k=4,4,0,0.13432505638650954,1.7688864679610856,698.8549150150673
agglomerative,k=5,5,0,0.12555879745762338,1.7046375657946427,644.6484667863291
agglomerative,k=6,6,0,0.1194844188350479,1.6532842463499853,603.4522774412883
gmm,k=2,2,0,0.18564091087178694,2.3480891606819903,600.9911449710329
gmm,k=3,3,0,0.14555921772997069,2.2010447149456094,544.4017778393043
gmm,k=4,4,0,0.062492421571198574,2.2561886765079775,480.1947746060513
gmm,k=5,5,0,0.06514061124470633,3.5769903832838432,476.503750054623
gmm,k=6,6,0,0.05954199806987596,2.913263458108149,430.962797318298
dbscan,"eps=2.901, min_samples=5 (p50)",5,1517,-0.12203677685494776,1.3900255202995377,11.23710090890205
dbscan,"eps=3.927, min_samples=5 (p75)",10,687,0.17191084753523167,1.117528132760319,14.371010120598424
dbscan,"eps=5.193, min_samples=5 (p90)",3,246,0.46565536916561495,0.8276230065970619,52.40949455696274
dbscan,"eps=3.179, min_samples=10 (p50)",1,1370,,,
dbscan,"eps=4.308, min_samples=10 (p75)",1,618,,,
dbscan,"eps=5.767, min_samples=10 (p90)",1,178,,,
