algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.5133072719063121,0.9687607321762064,2517.4015526393864
kmeans,k=3,3,0,0.4125272137023229,0.8741010417419303,2846.3082882135354
kmeans,k=4,4,0,0.3835232928373247,0.8289488910403241,3295.442327584728
kmeans,k=5,5,0,0.36854337704184803,0.839370108666672,3121.530920107349
kmeans,k=6,6,0,0.35451418723822303,0.8350811147723385,3137.741896680189
agglomerative,k=2,2,0,0.3690028958880883,1.193656520488063,1921.128505798621
agglomerative,k=3,3,0,0.33233244693312797,1.0560423481166095,2015.7065911096681
agglomerative,k=4,4,0,0.311197946702876,0.9564703127582026,2430.379665844027
agglomerative,k=5,5,0,0.3298241008667343,0.838258235587179,2566.0484186383496
agglomerative,k=6,6,0,0.30366263005277666,0.8978271982144496,2600.9754687495515
gmm,k=2,2,0,0.5145534516511365,1.015539492673497,2417.483761631682
gmm,k=3,3,0,0.42142194786069365,0.862168515858493,2774.9402952042988
gmm,k=4,4,0,0.37120145160303686,0.8478298889060025,3044.4898442345993
gmm,k=5,5,0,0.32548407254146605,0.9079850044443483,2885.0770145822066
gmm,k=6,6,0,0.32006488154603135,0.9118714136735627,2827.399630771467
dbscan,"eps=0.188, min_samples=5 (p50)",83,1393,-0.14247759066664573,0.6404684928974399,66.89380242486607
dbscan,"eps=0.290, min_samples=5 (p75)",35,681,-0.2591812635486892,0.5903671072657627,44.22890922448507
dbscan,"eps=0.531, min_samples=5 (p90)",15,261,0.2870010425027325,0.5372077809744366,68.53777383484972
dbscan,"eps=0.286, min_samples=10 (p50)",17,1372,-0.2180121181400725,0.637385346070171,78.6768320092931
dbscan,"eps=0.442, min_samples=10 (p75)",7,697,-0.05605413297926951,0.5870703745047317,68.20741225626001
dbscan,"eps=0.785, min_samples=10 (p90)",5,237,0.4089683498925581,0.7653922245092601,214.57259678814773
