algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.3766513764858246,1.0767488340795577,2703.1766147195444
kmeans,k=3,3,0,0.4048210382461548,0.9017146719361894,3236.880916754414
kmeans,k=4,4,0,0.43331825733184814,0.7423444678339028,4030.616362975276
kmeans,k=5,5,0,0.48080629110336304,0.6386475740983407,5482.245641595646
kmeans,k=6,6,0,0.469600647687912,0.7388891323174497,5582.355742675969
agglomerative,k=2,2,0,0.35143235325813293,1.1042454783166877,2443.1835552764883
agglomerative,k=3,3,0,0.3876599669456482,0.960527708059598,2865.235660022935
agglomerative,k=4,4,0,0.40037474036216736,0.7500258479964765,3316.8773874257563
agglomerative,k=5,5,0,0.45839887857437134,0.6462471429928385,4979.662490113902
agglomerative,k=6,6,0,0.4263462424278259,0.8407713314708749,4933.471531445699
gmm,k=2,2,0,0.3627552092075348,1.1006726503709272,2480.430294583627
gmm,k=3,3,0,0.349536657333374,1.036541711083626,2346.968025471992
gmm,k=4,4,0,0.40892523527145386,0.7421077906464754,3500.8919550579167
gmm,k=5,5,0,0.46592268347740173,0.6328852822122453,5135.103506943236
gmm,k=6,6,0,0.45250454545021057,0.7634018122909582,5157.827041936014
dbscan,"eps=0.108, min_samples=5 (p50)",154,1197,0.4234042465686798,0.5984949245850213,6401.320294305675
dbscan,"eps=0.147, min_samples=5 (p75)",83,451,0.1825115978717804,0.698666657071703,2165.5983430960537
dbscan,"eps=0.186, min_samples=5 (p90)",30,114,-0.23775838315486908,0.908517224397086,372.0319291665981
dbscan,"eps=0.172, min_samples=10 (p50)",59,1022,0.3544301986694336,0.664824181737826,3593.0646488896386
dbscan,"eps=0.219, min_samples=10 (p75)",27,320,0.18990349769592285,0.7163759306331735,2405.123127356946
dbscan,"eps=0.268, min_samples=10 (p90)",4,81,0.20016957819461823,0.8221189024630888,1306.7280624839748
