,PC1_loading,PC2_loading,abs_PC1
walk_mean,0.20658645133694745,0.05070214629848964,0.20658645133694745
walk_p90,0.20499077474125854,0.09141280908187571,0.20499077474125854
walk_median,0.1986015565719692,0.023900704706008816,0.1986015565719692
walk_p10,0.1929146711446995,0.003926236528760302,0.1929146711446995
steps_mean,0.18886653104759948,0.12991280570843797,0.18886653104759948
walk_min,0.18857444108679766,-0.003240855355394308,0.18857444108679766
walk_max,0.1871705782296949,0.12562405043370353,0.1871705782296949
graze_max,0.18706812613912863,-0.13516527680783702,0.18706812613912863
graze_p90,0.1861266065962272,-0.13938750363881458,0.1861266065962272
steps_median,0.1806002665980604,0.07790811880946406,0.1806002665980604
graze_std,0.1789571295265075,-0.08168940662069432,0.1789571295265075
graze_mean,0.17863328323452762,-0.14823824491825255,0.17863328323452762
graze_median,0.177496822396082,-0.14646516189431624,0.177496822396082
steps_p90,0.17689039391833794,0.18011513484019348,0.17689039391833794
steps_p10,0.17638064523160657,0.06512549833971527,0.17638064523160657
steps_min,0.17371370490184312,0.059748029277737896,0.17371370490184312
walk_iqr,0.1658560554411822,0.09426257569051721,0.1658560554411822
graze_p10,0.1581067242486711,-0.15518513589179259,0.1581067242486711
graze_iqr,0.1579910902238846,-0.07676958183992152,0.1579910902238846
ruminate_min,-0.15643019312055445,-0.03831728629216467,0.15643019312055445
ruminate_p10,-0.15607805747537493,-0.008671828428036087,0.15607805747537493
ruminate_cv,0.14982966763260966,0.08071763726315252,0.14982966763260966
walk_std,0.1464013554627995,0.15730276385483652,0.1464013554627995
steps_max,0.14593070702175867,0.20402879279567884,0.14593070702175867
eat_cv,0.1392004150112993,0.05849248716452968,0.1392004150112993
graze_min,0.13547189345558588,-0.15365917806478846,0.13547189345558588
eat_min,-0.13537117428904027,0.20435096231295202,0.13537117428904027
eat_p10,-0.13484907255893866,0.2111202291125855,0.13484907255893866
ruminate_mean,-0.13262826678277098,0.027907813078847776,0.13262826678277098
steps_iqr,0.1323510850745318,0.13992301629950074,0.1323510850745318
ruminate_median,-0.12739606475544302,0.038190911205116605,0.12739606475544302
eat_median,-0.1219652109465527,0.22992210746325906,0.1219652109465527
ruminate_std,0.116481367041256,0.10140330503091155,0.116481367041256
eat_mean,-0.11426660124630755,0.2517112664958882,0.11426660124630755
steps_std,0.10224190588300258,0.2097738414949039,0.10224190588300258
ruminate_p90,-0.09538654346009953,0.0546150838441203,0.09538654346009953
ruminate_iqr,0.09200295139981765,0.06895778780221969,0.09200295139981765
walk_cv,-0.08995517982074093,0.011128185283423532,0.08995517982074093
ruminate_max,-0.0811610799804772,0.055430975752288746,0.0811610799804772
rest_std,0.08007700570517666,0.09622476222466694,0.08007700570517666
eat_p90,-0.07870028500538298,0.2813116415878291,0.07870028500538298
eat_std,0.07514835691767664,0.18239594433103623,0.07514835691767664
graze_cv,-0.07370300188431973,0.09720619946401084,0.07370300188431973
rest_iqr,0.06774708105375343,0.054691363389731636,0.06774708105375343
rest_cv,0.059542243785665624,0.1638231053422042,0.059542243785665624
eat_iqr,0.0578244790752762,0.12617830808695435,0.0578244790752762
eat_max,-0.0467514898447441,0.283434048850606,0.0467514898447441
steps_cv,0.034532629746659216,0.1767890437371364,0.034532629746659216
rest_max,0.0306830593954697,-0.08677881742867541,0.0306830593954697
rest_p90,0.026356613432265325,-0.09636005692172879,0.026356613432265325
rest_min,-0.019636110687499084,-0.17934210891664787,0.019636110687499084
rest_p10,-0.012370051932925005,-0.15692793000262054,0.012370051932925005
rest_median,0.008473356692680813,-0.11725824616594825,0.008473356692680813
rest_mean,0.00839580776170975,-0.12638325020305402,0.00839580776170975
