algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.44894884626515,1.21396032323629,970.266996096015
kmeans,k=3,3,0,0.17093288933433987,1.72397098245769,902.9503116804754
kmeans,k=4,4,0,0.17409639242664304,1.6278471494780247,832.7745694372851
kmeans,k=5,5,0,0.17631535686190553,1.5197379980666088,807.8949142414554
kmeans,k=6,6,0,0.14969710205866962,1.5802363996400322,730.7429877650978
agglomerative,k=2,2,0,0.4309075215230293,1.2388495265486745,847.0201756471391
agglomerative,k=3,3,0,0.15866939169932312,1.8726590431683636,697.4190122193168
agglomerative,k=4,4,0,0.13640624620824124,1.7531108048839434,671.892017229027
agglomerative,k=5,5,0,0.14668345115560488,1.6735677145017558,611.149281693655
agglomerative,k=6,6,0,0.1073660268747947,1.8142834381821806,556.6145587148009
gmm,k=2,2,0,0.18220430855597736,2.5999497699811127,488.40836232011594
gmm,k=3,3,0,0.08367578971802124,2.5787017494553877,444.6476937725746
gmm,k=4,4,0,0.0638479576815905,2.2948610513331174,457.9947921818226
gmm,k=5,5,0,0.057001160305921804,2.153132029737995,470.069216775977
gmm,k=6,6,0,0.030649949678784073,2.6183766188687394,390.69955228243555
dbscan,"eps=2.593, min_samples=5 (p50)",5,1484,-0.1227755127039752,1.3426377416521018,8.681121165960427
dbscan,"eps=3.413, min_samples=5 (p75)",4,674,0.18812514850632814,0.9641630372984116,14.764064700952822
dbscan,"eps=4.616, min_samples=5 (p90)",7,231,0.39054688732220605,0.9585616197810302,37.802680794906806
dbscan,"eps=2.854, min_samples=10 (p50)",1,1305,,,
dbscan,"eps=3.764, min_samples=10 (p75)",1,593,,,
dbscan,"eps=5.141, min_samples=10 (p90)",3,204,0.5226613379299555,0.833369999960694,82.89755872536554
