algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.5198800164447335,0.858536351686937,2297.2985421125663
kmeans,k=3,3,0,0.3749025756108115,0.8964646178595235,2898.394621988521
kmeans,k=4,4,0,0.3860543507112686,0.845400861666633,3112.7125282260627
kmeans,k=5,5,0,0.3531679378580882,0.8408551338235106,3069.99267520451
kmeans,k=6,6,0,0.36168317959261065,0.8097366665122201,3089.3935455820747
agglomerative,k=2,2,0,0.6018230599684117,0.6220134935636675,2190.270827711498
agglomerative,k=3,3,0,0.31229912299870694,0.9825196797003763,2384.6536803456893
agglomerative,k=4,4,0,0.344389224916329,0.9027258812698014,2726.491046568262
agglomerative,k=5,5,0,0.30395961605499167,0.9110781928905091,2564.308065937299
agglomerative,k=6,6,0,0.30654533044577925,0.919377357531682,2586.119936442316
gmm,k=2,2,0,0.5402590637173686,0.803234759548508,2284.982813928304
gmm,k=3,3,0,0.2698453656015034,1.269797668243757,1928.114241269736
gmm,k=4,4,0,0.33155870723361625,0.9379190173359397,2585.299953367387
gmm,k=5,5,0,0.2759727325232798,0.9405152202305486,2259.0951287796393
gmm,k=6,6,0,0.3490173744269265,0.8049481791363989,2672.073435850994
dbscan,"eps=0.173, min_samples=5 (p50)",93,1333,-0.09043702558892365,0.6654838563081753,109.03359645543583
dbscan,"eps=0.252, min_samples=5 (p75)",35,673,-0.24166573606950614,0.6426529568668153,33.21458255149928
dbscan,"eps=0.482, min_samples=5 (p90)",13,277,-0.025183096248946078,0.4908938577695189,65.77447928663804
dbscan,"eps=0.264, min_samples=10 (p50)",21,1250,-0.27410517993023525,0.6766088965246658,66.00874332975194
dbscan,"eps=0.378, min_samples=10 (p75)",4,671,0.039540360714978365,0.5291508215634175,36.150602388109675
dbscan,"eps=0.750, min_samples=10 (p90)",5,263,0.3510856714826744,0.5614092195529614,132.47832743179552
