algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.39169108867645264,1.0911691083403356,2614.0987101947485
kmeans,k=3,3,0,0.4085754156112671,0.8730951235723353,3400.400768710488
kmeans,k=4,4,0,0.43661361932754517,0.7055408765286005,4286.391644924931
kmeans,k=5,5,0,0.4768562316894531,0.671742082205536,5572.7083038242545
kmeans,k=6,6,0,0.45931604504585266,0.7544952810604189,5533.480088550598
agglomerative,k=2,2,0,0.3788602352142334,1.1037619199321906,2545.6040740711205
agglomerative,k=3,3,0,0.40415212512016296,0.9423452671691607,2998.73676447882
agglomerative,k=4,4,0,0.41410455107688904,0.6954960241833043,3538.236291440314
agglomerative,k=5,5,0,0.3893919289112091,0.7377674108123349,4040.3977576731113
agglomerative,k=6,6,0,0.41681969165802,0.8266158967498548,4742.060185777671
gmm,k=2,2,0,0.5614988803863525,0.42257208084704834,2404.9823537924167
gmm,k=3,3,0,0.37037214636802673,0.9298683789340402,2847.799528646533
gmm,k=4,4,0,0.42959725856781006,0.7089988909274285,3877.667344259615
gmm,k=5,5,0,0.4742097854614258,0.6596302748583842,5465.438783416281
gmm,k=6,6,0,0.45757031440734863,0.7663323587533855,5429.520523720952
dbscan,"eps=0.109, min_samples=5 (p50)",168,1128,0.4012084901332855,0.6223516645883251,5601.294008502561
dbscan,"eps=0.141, min_samples=5 (p75)",83,410,0.1352861374616623,0.7428922989459199,2129.915379983212
dbscan,"eps=0.175, min_samples=5 (p90)",24,133,-0.26425206661224365,1.3619732373200302,574.1640108799818
dbscan,"eps=0.171, min_samples=10 (p50)",71,810,0.35981637239456177,0.6734224636966116,4257.9011955964015
dbscan,"eps=0.210, min_samples=10 (p75)",22,282,0.0025717082899063826,0.8073824452653032,1335.5191414431758
dbscan,"eps=0.253, min_samples=10 (p90)",7,102,-0.001972593367099762,0.8429348786706411,1088.6585936659894
