,PC1_loading,PC2_loading,abs_PC1
graze_max,0.23427742319525804,-0.07060496257458213,0.23427742319525804
graze_p90,0.23407755204142308,-0.0710277955378478,0.23407755204142308
graze_mean,0.2271854188417052,-0.07138445809625231,0.2271854188417052
graze_median,0.22564278303479832,-0.0700133672417455,0.22564278303479832
graze_std,0.21497594650531227,-0.054643875394852354,0.21497594650531227
graze_p10,0.20518181869260813,-0.06914309799265583,0.20518181869260813
eat_p10,-0.1999602409766776,-0.03761828984161707,0.1999602409766776
eat_min,-0.19922185015246438,-0.03742840989584006,0.19922185015246438
walk_mean,0.19844941514859188,-0.08763890672757403,0.19844941514859188
walk_median,0.19487841742109988,-0.08002645261974135,0.19487841742109988
walk_p10,0.19407214831681247,-0.0757547570010712,0.19407214831681247
graze_iqr,0.19223737944096123,-0.05001685595905783,0.19223737944096123
walk_min,0.19179978689124316,-0.07346140342214397,0.19179978689124316
eat_median,-0.18929071292264005,-0.03985104269284443,0.18929071292264005
walk_p90,0.18919176484756078,-0.09344052186774962,0.18919176484756078
eat_mean,-0.1848608892698486,-0.040927754562405126,0.1848608892698486
graze_min,0.17953310083460933,-0.06698966780492452,0.17953310083460933
walk_max,0.16551511160610843,-0.09338175609336342,0.16551511160610843
ruminate_p10,-0.1514572697604263,-0.1977616834598461,0.1514572697604263
eat_p90,-0.15006907938298264,-0.040780342949186386,0.15006907938298264
ruminate_min,-0.14818240768175364,-0.17437241633988945,0.14818240768175364
walk_iqr,0.14795485727395116,-0.07452949342561692,0.14795485727395116
ruminate_cv,0.14643893427682414,0.01867247179202328,0.14643893427682414
eat_cv,0.14643381280191425,-0.007349640523808247,0.14643381280191425
ruminate_mean,-0.12979465374118518,-0.23037506604131663,0.12979465374118518
ruminate_median,-0.1265204246826713,-0.22666902748266177,0.1265204246826713
walk_std,0.11785627765587157,-0.0820140642228391,0.11785627765587157
eat_max,-0.11325033009878939,-0.03564035729600533,0.11325033009878939
ruminate_std,0.11152703198652192,-0.047590535011284296,0.11152703198652192
graze_cv,-0.09993561695864192,0.04109854706538464,0.09993561695864192
ruminate_p90,-0.09314746329608635,-0.24114843574030975,0.09314746329608635
ruminate_iqr,0.09121567170515467,-0.037001398731212706,0.09121567170515467
walk_cv,-0.08544300330857917,0.04747735256965271,0.08544300330857917
ruminate_max,-0.07779910518552897,-0.23755290551374433,0.07779910518552897
rest_std,0.07340076897202422,0.05892586662178716,0.07340076897202422
rest_iqr,0.06834429969111103,0.05161030140231141,0.06834429969111103
eat_std,0.047675204802161905,-0.012049899797640578,0.047675204802161905
rest_max,0.04625618209481843,0.2995544991533177,0.04625618209481843
rest_cv,0.043088029748815974,-0.14489483190408597,0.043088029748815974
rest_p90,0.042439308619442555,0.31070271026459306,0.042439308619442555
eat_iqr,0.039212254000093864,-0.015589592806503719,0.039212254000093864
rest_mean,0.026592958816244402,0.3228365103715313,0.026592958816244402
rest_median,0.024561366377913275,0.31804799342950185,0.024561366377913275
rest_p10,0.008456687209078521,0.3131145733316193,0.008456687209078521
rest_min,0.005015516071969001,0.2958282778002961,0.005015516071969001
