algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.3592663411814073,1.3732318351107395,1378.915463473643
kmeans,k=3,3,0,0.27374854269424803,1.224176677716774,1557.5481321355448
kmeans,k=4,4,0,0.28176187985115914,1.1383523323556037,1586.082405796706
kmeans,k=5,5,0,0.26915595097354006,1.1224505086548278,1565.6442568639156
kmeans,k=6,6,0,0.2763253383257196,1.1159320476496,1473.1078233113196
agglomerative,k=2,2,0,0.5404562082745726,0.7363649086320969,1178.7674221172297
agglomerative,k=3,3,0,0.2398509784926419,1.3635283274881458,1280.0776566989664
agglomerative,k=4,4,0,0.20966260279839832,1.2669993265805657,1250.934271359624
agglomerative,k=5,5,0,0.2257892447042545,1.2557341682038279,1294.4886469913745
agglomerative,k=6,6,0,0.22950081721392557,1.2165346315883188,1215.0825715495578
gmm,k=2,2,0,0.3178320750272919,1.7053426653916486,870.6076949513704
gmm,k=3,3,0,0.18134755462854815,1.5884954920673868,1065.3769842558181
gmm,k=4,4,0,0.14060624693934695,1.6092498748901907,886.0979770113012
gmm,k=5,5,0,0.08788501141917546,2.7688534137047247,668.2994228871943
gmm,k=6,6,0,0.05913785443900312,2.3656338968467816,609.3217432599292
dbscan,"eps=0.309, min_samples=5 (p50)",17,1376,-0.41029612700783274,0.9690813383383137,21.94918617609566
dbscan,"eps=0.422, min_samples=5 (p75)",5,668,-0.09046858710833361,0.8578230504880718,14.105164164582149
dbscan,"eps=0.694, min_samples=5 (p90)",9,259,0.16344686376362993,0.7725261752994825,55.53410235711736
dbscan,"eps=0.385, min_samples=10 (p50)",7,1192,-0.07444110665037208,0.8372658605817869,47.890828448606456
dbscan,"eps=0.531, min_samples=10 (p75)",1,590,,,
dbscan,"eps=0.894, min_samples=10 (p90)",4,196,0.4012387526232239,1.0851355541472183,187.36220022573497
