algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.43966412794022963,1.012773383821095,2094.3935054696462
kmeans,k=3,3,0,0.3948676387850798,0.8673902321876228,2823.339055507337
kmeans,k=4,4,0,0.40560200290629045,0.830038509442264,3011.623239998424
kmeans,k=5,5,0,0.36299239448876786,0.8241111479314093,3066.661666508608
kmeans,k=6,6,0,0.3691817114566126,0.8115990536014114,3102.204129325392
agglomerative,k=2,2,0,0.3600002021690094,1.1479779927219331,1563.0710592386745
agglomerative,k=3,3,0,0.3716626716360701,0.9202149768622495,2308.476538311917
agglomerative,k=4,4,0,0.388615401551151,0.8000021522412273,2774.2455034733575
agglomerative,k=5,5,0,0.3514098428105934,0.8908981403708612,2698.2032894492268
agglomerative,k=6,6,0,0.3292886708555629,0.854878238262005,2625.1273180905455
gmm,k=2,2,0,0.384847269143687,1.1122489726061464,1946.143925435213
gmm,k=3,3,0,0.23866251352902088,1.416500080401881,1547.929334821969
gmm,k=4,4,0,0.23545546999319297,1.0840636747415877,1674.5184759981146
gmm,k=5,5,0,0.1191204841527057,1.2573019958671625,1608.535252380332
gmm,k=6,6,0,0.2739641316831915,1.010681006048942,2094.6117427808585
dbscan,"eps=0.068, min_samples=5 (p50)",74,1385,-0.20278887525299488,0.7027280810451831,56.68418072879494
dbscan,"eps=0.101, min_samples=5 (p75)",35,653,-0.3235531639291296,0.6050263403956802,35.77626486861939
dbscan,"eps=0.189, min_samples=5 (p90)",7,296,0.2324141061327826,0.4243828684592557,48.630741330608664
dbscan,"eps=0.104, min_samples=10 (p50)",20,1307,-0.12147380190307568,0.6518559728992219,96.70271184626294
dbscan,"eps=0.152, min_samples=10 (p75)",12,611,-0.19936286329496805,0.6425677094251268,51.155888363702594
dbscan,"eps=0.277, min_samples=10 (p90)",1,295,,,
