cluster,celso_diario,ruibal_diario,valdillera_diario_equivalente
-1,188,980,41
0,2,11,0
1,3,13,0
2,4,3,0
3,9,11,0
4,8,8,0
5,3,14,0
6,5,2,0
7,2,3,0
8,1,4,0
9,7,11,0
10,2,4,0
11,1,26,0
12,7,2,0
13,3,8,0
14,1,17,0
15,2,21,0
16,5,3,0
17,5,14,0
18,6,3,0
19,4,3,0
20,5,3,0
21,1,9,0
22,3,36,0
23,2,6,0
24,4,2,0
25,7,2,0
26,6,9,0
27,5,4,0
28,7,8,0
29,20,2,0
30,3,13,0
31,3,4,0
32,9,2,0
33,2,7,0
34,6,9,0
35,1,4,0
36,2,28,0
37,3,5,0
38,2,15,0
39,2,6,0
40,2,9,0
41,2,12,0
42,6,12,0
43,1,9,1
44,3,26,0
45,2,14,0
46,2,5,0
47,3,8,0
48,6,4,0
49,11,0,1
50,3,3,0
51,5,3,0
52,2,20,0
53,1,5,0
54,3,5,0
55,18,23,0
56,9,2,0
57,2,23,0
58,10,3,0
59,5,0,0
60,11,2,0
61,3,6,0
62,3,9,0
63,2,3,0
64,8,1,0
65,2,9,0
66,1,15,0
67,6,13,1
68,3,15,0
69,5,0,0
70,4,0,0
71,1,14,52
72,2,4,2
73,4,1,0
74,4,3,0
75,2,4,0
76,2,13,0
77,1,14,0
78,5,7,0
79,2,5,0
80,2,3,0
81,1,9,1
82,1,15,0
83,0,36,0
84,0,7,0
85,0,11,0
86,0,9,0
87,0,23,0
88,0,6,0
89,0,5,0
90,0,22,0
91,0,8,0
92,4,1,0
93,0,12,0
94,0,11,0
95,0,31,0
96,0,13,0
97,0,33,0
98,0,16,0
99,0,13,0
100,0,10,0
101,0,34,0
102,0,14,0
103,0,28,0
104,0,6,0
105,0,11,0
106,0,9,0
107,0,25,0
108,0,7,0
109,0,10,0
110,0,5,0
111,0,30,0
112,0,11,0
113,0,7,0
114,0,24,0
115,0,21,0
116,1,11,0
117,0,9,0
118,0,7,0
119,1,13,0
120,1,12,0
121,0,27,0
122,0,8,0
123,0,17,0
124,0,9,0
125,0,5,0
126,0,7,0
127,0,17,0
128,0,7,0
129,0,11,0
130,0,16,0
131,1,5,0
132,2,11,0
133,0,6,0
134,0,37,0
135,0,5,0
136,0,8,0
137,0,15,0
138,2,1,0
139,2,4,1
140,0,6,0
141,0,15,0
142,0,14,0
143,1,12,0
144,0,9,0
145,0,10,0
146,0,5,0
147,1,11,0
148,0,32,0
149,0,5,0
150,0,11,0
151,1,5,0
152,0,6,0
153,0,11,0
154,0,8,0
155,0,5,1
156,0,7,0
157,0,7,0
158,0,5,0
159,1,4,0
160,0,7,0
161,0,8,0
162,0,15,0
163,0,6,0
164,0,6,0
165,1,8,0
166,2,3,0
167,0,5,0
168,0,8,0
169,0,6,0
170,0,15,0
171,0,7,0
172,0,12,0
173,0,7,0
174,1,6,0
175,0,6,0
176,1,8,0
177,0,18,0
178,0,5,0
179,0,1,27
180,0,6,0
181,1,4,0
182,0,5,0
183,0,5,0
184,3,2,0
185,3,2,0
186,0,10,0
187,0,0,86
188,0,0,7
189,0,0,9
190,0,0,11
191,0,0,14
192,0,0,32
193,0,0,6
194,0,0,5
195,0,0,4
196,0,0,8
