cluster,extensivo,intensivo
-1,41,1168
0,0,13
1,0,16
2,0,7
3,0,20
4,0,16
5,0,17
6,0,7
7,0,5
8,0,5
9,0,18
10,0,6
11,0,27
12,0,9
13,0,11
14,0,18
15,0,23
16,0,8
17,0,19
18,0,9
19,0,7
20,0,8
21,0,10
22,0,39
23,0,8
24,0,6
25,0,9
26,0,15
27,0,9
28,0,15
29,0,22
30,0,16
31,0,7
32,0,11
33,0,9
34,0,15
35,0,5
36,0,30
37,0,8
38,0,17
39,0,8
40,0,11
41,0,14
42,0,18
43,1,10
44,0,29
45,0,16
46,0,7
47,0,11
48,0,10
49,1,11
50,0,6
51,0,8
52,0,22
53,0,6
54,0,8
55,0,41
56,0,11
57,0,25
58,0,13
59,0,5
60,0,13
61,0,9
62,0,12
63,0,5
64,0,9
65,0,11
66,0,16
67,1,19
68,0,18
69,0,5
70,0,4
71,52,15
72,2,6
73,0,5
74,0,7
75,0,6
76,0,15
77,0,15
78,0,12
79,0,7
80,0,5
81,1,10
82,0,16
83,0,36
84,0,7
85,0,11
86,0,9
87,0,23
88,0,6
89,0,5
90,0,22
91,0,8
92,0,5
93,0,12
94,0,11
95,0,31
96,0,13
97,0,33
98,0,16
99,0,13
100,0,10
101,0,34
102,0,14
103,0,28
104,0,6
105,0,11
106,0,9
107,0,25
108,0,7
109,0,10
110,0,5
111,0,30
112,0,11
113,0,7
114,0,24
115,0,21
116,0,12
117,0,9
118,0,7
119,0,14
120,0,13
121,0,27
122,0,8
123,0,17
124,0,9
125,0,5
126,0,7
127,0,17
128,0,7
129,0,11
130,0,16
131,0,6
132,0,13
133,0,6
134,0,37
135,0,5
136,0,8
137,0,15
138,0,3
139,1,6
140,0,6
141,0,15
142,0,14
143,0,13
144,0,9
145,0,10
146,0,5
147,0,12
148,0,32
149,0,5
150,0,11
151,0,6
152,0,6
153,0,11
154,0,8
155,1,5
156,0,7
157,0,7
158,0,5
159,0,5
160,0,7
161,0,8
162,0,15
163,0,6
164,0,6
165,0,9
166,0,5
167,0,5
168,0,8
169,0,6
170,0,15
171,0,7
172,0,12
173,0,7
174,0,7
175,0,6
176,0,9
177,0,18
178,0,5
179,27,1
180,0,6
181,0,5
182,0,5
183,0,5
184,0,5
185,0,5
186,0,10
187,86,0
188,7,0
189,9,0
190,11,0
191,14,0
192,32,0
193,6,0
194,5,0
195,4,0
196,8,0
