algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.3579634726047516,1.1359656612187292,2353.2520112313277
kmeans,k=3,3,0,0.3850235939025879,0.9140197617744706,3039.4641127630207
kmeans,k=4,4,0,0.436287522315979,0.7464335688507813,3834.462771087058
kmeans,k=5,5,0,0.44684070348739624,0.7124368086741517,4719.9394394727005
kmeans,k=6,6,0,0.43511930108070374,0.768011099965073,4760.368737830004
agglomerative,k=2,2,0,0.509070634841919,0.4597846859138822,1895.1750570499926
agglomerative,k=3,3,0,0.35013261437416077,0.9818691886797918,2379.9176593478624
agglomerative,k=4,4,0,0.3538625240325928,0.8633459756695256,2840.130082915158
agglomerative,k=5,5,0,0.38386669754981995,0.7337908078445952,3480.0392356224793
agglomerative,k=6,6,0,0.3979053497314453,0.776128401856111,3890.373428867782
gmm,k=2,2,0,0.3589566648006439,1.1655369119012586,2230.204716203622
gmm,k=3,3,0,0.3578570485115051,0.9976537079902797,2571.26110738446
gmm,k=4,4,0,0.4038197696208954,0.7797957491375317,3271.62349404207
gmm,k=5,5,0,0.41557177901268005,0.7419671273050723,4139.672244084669
gmm,k=6,6,0,0.4098969101905823,0.7594129112462521,4274.23254282651
dbscan,"eps=0.121, min_samples=5 (p50)",197,1209,0.5506144762039185,0.5039587075154283,11836.381681141685
dbscan,"eps=0.170, min_samples=5 (p75)",130,458,0.3587464988231659,0.6514648572858636,3720.0584506395135
dbscan,"eps=0.224, min_samples=5 (p90)",36,134,0.040437001734972,1.1626618196831042,1568.0368379675538
dbscan,"eps=0.205, min_samples=10 (p50)",101,905,0.512616753578186,0.5762217755707876,8826.779771740466
dbscan,"eps=0.264, min_samples=10 (p75)",47,260,0.23198512196540833,0.7594133151680598,2842.002043673016
dbscan,"eps=0.325, min_samples=10 (p90)",7,68,0.09961044788360596,0.8549615223867392,1427.5254085735746
