,PC1_loading,PC2_loading,abs_PC1,abs_PC2
steps_mean,0.25013969369467665,0.1397262691516349,0.25013969369467665,0.1397262691516349
ruminate_mean,-0.24773220361655,0.12330786392596996,0.24773220361655,0.12330786392596996
steps_p90,0.24592203013382813,0.13589275024711522,0.24592203013382813,0.13589275024711522
ruminate_median,-0.24201863934307166,0.1115906413241155,0.24201863934307166,0.1115906413241155
walk_mean,0.2360293513777923,0.1195270104976865,0.2360293513777923,0.1195270104976865
steps_iqr,0.23585309485184344,0.1337447099963881,0.23585309485184344,0.1337447099963881
walk_p90,0.2323110120297561,0.11808066401906153,0.2323110120297561,0.11808066401906153
steps_std,0.2151148036924261,0.11886942726455034,0.2151148036924261,0.11886942726455034
steps_median,0.21206707514760817,0.11846951604094613,0.21206707514760817,0.11846951604094613
walk_std,0.21156138462258667,0.1133797057755575,0.21156138462258667,0.1133797057755575
ruminate_p90,-0.21093146207316882,0.11265753719898033,0.21093146207316882,0.11265753719898033
walk_iqr,0.20631961944332022,0.0974410008900605,0.20631961944332022,0.0974410008900605
ruminate_cv,0.17199482901134122,-0.11090748704253121,0.17199482901134122,0.11090748704253121
rest_p90,0.16914997588833525,-0.1967749022043636,0.16914997588833525,0.1967749022043636
walk_max,0.16907832657716404,0.09916166178156374,0.16907832657716404,0.09916166178156374
rest_mean,0.16221249584504577,-0.21920660774154294,0.16221249584504577,0.21920660774154294
rest_median,0.15664576295535806,-0.21232384953826872,0.15664576295535806,0.21232384953826872
ruminate_p10,-0.1557906307425798,0.09221288957325145,0.1557906307425798,0.09221288957325145
rest_iqr,0.15170682293531465,-0.10548025526144007,0.15170682293531465,0.10548025526144007
steps_max,0.14902031777024335,0.07997895972082962,0.14902031777024335,0.07997895972082962
rest_std,0.1486594990396715,-0.13142928086809852,0.1486594990396715,0.13142928086809852
walk_cv,-0.1465793575900392,-0.09594882537040193,0.1465793575900392,0.09594882537040193
ruminate_max,-0.14540608564113797,0.08543638439837897,0.14540608564113797,0.08543638439837897
ruminate_std,-0.13860179915088755,0.07558805839555555,0.13860179915088755,0.07558805839555555
walk_median,0.13639147564929052,0.06139667529937079,0.13639147564929052,0.06139667529937079
rest_cv,-0.12984673849441672,0.17443547802855253,0.12984673849441672,0.17443547802855253
rest_max,0.10128558457379798,-0.12658414168898108,0.10128558457379798,0.12658414168898108
rest_p10,0.08014703290045978,-0.1764104882933376,0.08014703290045978,0.1764104882933376
steps_p10,0.07921948605172799,0.0340358086099425,0.07921948605172799,0.0340358086099425
ruminate_iqr,-0.06938240151662231,0.061870235812643934,0.06938240151662231,0.061870235812643934
graze_median,-0.048574377022380724,-0.09245719273554191,0.048574377022380724,0.09245719273554191
eat_iqr,0.04836311863214897,0.2260842410405891,0.04836311863214897,0.2260842410405891
graze_iqr,-0.046848289935923076,-0.13330537051235294,0.046848289935923076,0.13330537051235294
rest_min,0.041565449532840304,-0.09542883552825096,0.041565449532840304,0.09542883552825096
eat_cv,0.033234413009674245,-0.14320427430716595,0.033234413009674245,0.14320427430716595
steps_cv,0.027471576508254422,-0.023349548210396292,0.027471576508254422,0.023349548210396292
graze_mean,-0.023609312757710665,-0.14353149477111415,0.023609312757710665,0.14353149477111415
eat_std,0.022428712227592434,0.22693665495279802,0.022428712227592434,0.22693665495279802
eat_p10,-0.021267237308627094,0.16067494379974445,0.021267237308627094,0.16067494379974445
eat_max,-0.020626650341400654,0.20349500415212227,0.020626650341400654,0.20349500415212227
eat_median,0.02018399442995,0.25354301531572876,0.02018399442995,0.25354301531572876
ruminate_min,-0.019761341001984824,0.025241961129245014,0.019761341001984824,0.025241961129245014
eat_min,0.016465142347395666,0.04072555558737559,0.016465142347395666,0.04072555558737559
walk_p10,0.014624259927593917,0.014173230393451553,0.014624259927593917,0.014173230393451553
eat_mean,0.013798254049037907,0.27653224930322295,0.013798254049037907,0.27653224930322295
eat_p90,0.013072750441206026,0.2558668194427609,0.013072750441206026,0.2558668194427609
graze_cv,-0.010215880686442903,0.08507763314037484,0.010215880686442903,0.08507763314037484
graze_p90,-0.009057115851692898,-0.14402106282533358,0.009057115851692898,0.14402106282533358
graze_max,0.008092112149401908,-0.12167144314434578,0.008092112149401908,0.12167144314434578
graze_min,-0.0034968271183277687,-0.0024246867178888123,0.0034968271183277687,0.0024246867178888123
graze_p10,-0.003238517347534268,-0.0029704254119816116,0.003238517347534268,0.0029704254119816116
graze_std,0.0017414878192417544,-0.14407467175402724,0.0017414878192417544,0.14407467175402724
walk_min,0.0,0.0,0.0,0.0
steps_min,0.0,0.0,0.0,0.0
