algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.16723925941413653,2.2384502754400657,1032.330633495637
kmeans,k=3,3,0,0.17816296393064157,1.787353080459441,1092.0163197610473
kmeans,k=4,4,0,0.15921825317046923,1.6922910448408592,1001.6808158385461
kmeans,k=5,5,0,0.14363022585074134,1.578200006193176,957.911386632652
kmeans,k=6,6,0,0.13488042998355762,1.6569856253380693,891.3144793006373
agglomerative,k=2,2,0,0.10571400893039476,2.4108062648242887,774.5267543142097
agglomerative,k=3,3,0,0.1266928185887832,1.9628138349569382,810.613944941291
agglomerative,k=4,4,0,0.10867399538988626,2.007457099800657,777.7514498081407
agglomerative,k=5,5,0,0.11311250559244816,1.7913891972292493,767.8436679110291
agglomerative,k=6,6,0,0.11221770017846999,1.7333441488843429,739.4301171714387
gmm,k=2,2,0,0.3095995186429081,2.3835542914013415,705.7240549610298
gmm,k=3,3,0,0.294768885976451,2.279188159540821,564.1529110924349
gmm,k=4,4,0,0.12557061297102384,1.8965275599467293,725.2163568281146
gmm,k=5,5,0,0.06943300206931395,2.3730257066716076,435.49667502061635
gmm,k=6,6,0,0.06586558225896355,2.335682784880957,474.5620398719762
dbscan,"eps=2.726, min_samples=5 (p50)",18,2629,-0.09011878855945576,0.8970477933450144,36.62047525725133
dbscan,"eps=3.247, min_samples=5 (p75)",13,1198,0.011275869576291465,0.9436093472916396,48.030734850935
dbscan,"eps=4.039, min_samples=5 (p90)",7,501,0.19183569429660405,0.8480165365740021,65.87234803316063
dbscan,"eps=2.981, min_samples=10 (p50)",6,2203,0.03250723199387169,0.980550775401408,28.690757015597637
dbscan,"eps=3.552, min_samples=10 (p75)",2,1015,0.27511102592966463,0.8554119975456326,23.69870563527835
dbscan,"eps=4.488, min_samples=10 (p90)",1,438,,,
