algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.3945270842557524,1.060504790741673,3132.9210053309585
kmeans,k=3,3,0,0.3586716921831959,0.9165151171707177,4225.12790228192
kmeans,k=4,4,0,0.3334377292763776,0.9492603599444164,3920.66429823073
kmeans,k=5,5,0,0.353039228086295,0.8812981440213388,4089.7972727183255
kmeans,k=6,6,0,0.33279961527495344,0.8236455275804153,4126.82217881063
agglomerative,k=2,2,0,0.35362486534762244,1.1019484601480192,2943.163291456823
agglomerative,k=3,3,0,0.31941899179804556,0.9213415526790453,3415.660189501011
agglomerative,k=4,4,0,0.28619155187404705,0.9857801479344419,3445.551043132917
agglomerative,k=5,5,0,0.2721261293507521,1.0347891114998344,3466.121319703469
agglomerative,k=6,6,0,0.27645346851883834,0.9252772217081789,3547.0946152554925
gmm,k=2,2,0,0.4871081163159895,1.1275288844650038,2787.129506497965
gmm,k=3,3,0,0.2981771889292407,3.4167161494471627,1514.3842371210308
gmm,k=4,4,0,0.33498736267451756,0.9542652190594828,3257.103070416731
gmm,k=5,5,0,0.3504798475767208,0.8733810397120113,3668.119536053746
gmm,k=6,6,0,0.3152263134035177,0.9609220505286681,3723.690877968908
dbscan,"eps=0.121, min_samples=5 (p50)",138,2787,-0.2604416163310728,0.635425437445492,70.52321109818233
dbscan,"eps=0.193, min_samples=5 (p75)",68,1399,-0.351495876196737,0.5911012863252306,36.84583958001739
dbscan,"eps=0.342, min_samples=5 (p90)",26,543,-0.026015651822174135,0.5163560684821473,48.85620112403006
dbscan,"eps=0.180, min_samples=10 (p50)",25,2881,-0.29623953661630553,0.6204266324712091,75.00187229988232
dbscan,"eps=0.291, min_samples=10 (p75)",9,1443,-0.2000482909485144,0.5942274081068316,58.364194301574145
dbscan,"eps=0.524, min_samples=10 (p90)",4,510,0.31470694317324305,0.46641043432080487,60.73842616610372
