cluster,celso_horario,ruibal_horario
-1,1425,830
0,81,1
1,7,0
2,9,0
3,14,0
4,20,8
5,81,9
6,21,4
7,47,36
8,42,4
9,9,0
10,12,9
11,60,3
12,13,20
13,31,9
14,43,6
15,9,0
16,27,1
17,14,15
18,13,3
19,7,0
20,12,2
21,70,54
22,19,8
23,35,19
24,4,2
25,5,7
26,10,6
27,9,6
28,6,7
29,6,11
30,26,4
31,5,1
32,7,6
33,6,8
34,10,10
35,6,8
36,1,14
37,3,14
38,7,4
39,6,17
40,5,4
41,2,5
42,3,4
43,2,3
44,4,27
45,13,25
46,11,44
47,61,37
48,2,6
49,2,31
50,3,27
51,1,6
52,9,4
53,12,11
54,6,0
55,6,3
56,9,2
57,6,1
58,2,4
59,11,1
60,14,0
61,56,0
62,46,0
63,6,1
64,10,1
65,5,1
66,37,4
67,11,17
68,13,6
69,5,3
70,33,0
71,12,9
72,35,2
73,29,2
74,5,2
75,28,3
76,4,2
77,8,1
78,1,4
79,12,7
80,8,0
81,4,3
82,4,8
83,9,3
84,11,7
85,4,1
86,34,31
87,30,7
88,8,4
89,9,19
90,8,0
91,37,1
92,4,1
93,7,0
94,4,1
95,4,4
96,6,9
97,7,4
98,13,0
99,20,4
100,7,4
101,21,20
102,7,2
103,6,0
104,44,2
105,13,0
106,9,1
107,15,1
108,6,0
109,9,5
110,18,1
111,17,2
112,3,3
113,9,5
114,17,0
115,4,3
116,1,12
117,37,27
118,7,22
119,4,4
120,5,19
121,25,0
122,8,0
123,8,15
124,5,1
125,5,5
126,9,0
127,15,1
128,1,9
129,4,30
130,14,4
131,10,1
132,7,0
133,3,4
134,9,2
135,4,1
136,9,0
137,5,1
138,23,2
139,6,9
140,7,3
141,5,0
142,11,2
143,8,9
144,7,0
145,6,0
146,6,1
147,5,4
148,3,2
149,4,1
150,5,1
151,7,4
152,2,7
153,6,11
154,31,0
155,8,0
156,5,9
157,3,3
158,8,0
159,6,4
160,17,22
161,28,16
162,9,0
163,4,2
164,5,4
165,26,1
166,9,2
167,3,2
168,27,7
169,39,0
170,7,0
171,4,3
172,12,3
173,5,2
174,25,20
175,5,7
176,9,0
177,4,4
178,6,5
179,2,12
180,13,1
181,4,13
182,4,6
183,13,33
184,17,3
185,4,2
186,11,6
187,15,35
188,8,0
189,7,3
190,7,1
191,18,0
192,9,2
193,11,4
194,5,0
195,15,0
196,6,2
197,10,0
198,12,4
199,4,2
200,2,3
201,7,0
202,5,0
203,1,4
204,4,3
205,7,2
206,4,2
207,5,10
208,5,3
209,8,3
210,4,1
211,2,10
212,5,13
213,5,2
214,2,3
215,1,7
216,5,0
217,4,20
218,5,0
219,19,3
220,5,0
221,23,0
222,5,2
223,20,0
224,2,2
225,18,0
226,7,5
227,9,0
228,25,0
229,7,2
230,3,3
231,15,2
232,7,2
233,8,3
234,4,1
235,5,3
236,2,5
237,20,0
238,4,1
239,4,5
240,4,4
241,5,1
242,5,55
243,1,12
244,5,2
245,1,27
246,6,13
247,4,1
248,4,1
249,5,0
250,2,6
251,1,6
252,4,1
253,2,20
254,3,3
255,5,2
256,4,1
257,2,3
258,4,1
259,1,2
260,5,2
261,4,1
262,3,5
263,4,1
264,3,8
265,4,12
266,3,2
267,1,5
268,18,0
269,5,25
270,2,1
271,5,4
272,7,4
273,3,2
274,4,3
275,8,2
276,1,5
277,3,2
278,3,2
279,3,4
280,5,1
281,5,0
282,4,0
283,3,1
284,3,3
285,4,0
286,1,10
287,3,2
288,2,11
289,1,11
290,5,0
291,2,56
292,1,4
293,0,17
294,2,7
295,1,16
296,3,2
297,4,1
298,0,5
299,3,6
300,0,6
301,1,4
302,1,3
303,2,9
304,3,2
305,0,7
306,3,2
307,1,4
308,4,3
309,0,19
310,2,5
311,0,3
312,1,4
313,0,7
314,1,3
315,3,2
316,0,13
317,2,3
318,3,2
319,0,17
320,1,10
321,0,18
322,0,5
323,0,4
324,0,5
325,1,10
326,0,1
327,3,3
328,0,5
329,1,5
330,0,10
331,1,6
332,0,4
333,0,6
334,1,9
335,3,3
