cluster,intensivo
-1,2255
0,82
1,7
2,9
3,14
4,28
5,90
6,25
7,83
8,46
9,9
10,21
11,63
12,33
13,40
14,49
15,9
16,28
17,29
18,16
19,7
20,14
21,124
22,27
23,54
24,6
25,12
26,16
27,15
28,13
29,17
30,30
31,6
32,13
33,14
34,20
35,14
36,15
37,17
38,11
39,23
40,9
41,7
42,7
43,5
44,31
45,38
46,55
47,98
48,8
49,33
50,30
51,7
52,13
53,23
54,6
55,9
56,11
57,7
58,6
59,12
60,14
61,56
62,46
63,7
64,11
65,6
66,41
67,28
68,19
69,8
70,33
71,21
72,37
73,31
74,7
75,31
76,6
77,9
78,5
79,19
80,8
81,7
82,12
83,12
84,18
85,5
86,65
87,37
88,12
89,28
90,8
91,38
92,5
93,7
94,5
95,8
96,15
97,11
98,13
99,24
100,11
101,41
102,9
103,6
104,46
105,13
106,10
107,16
108,6
109,14
110,19
111,19
112,6
113,14
114,17
115,7
116,13
117,64
118,29
119,8
120,24
121,25
122,8
123,23
124,6
125,10
126,9
127,16
128,10
129,34
130,18
131,11
132,7
133,7
134,11
135,5
136,9
137,6
138,25
139,15
140,10
141,5
142,13
143,17
144,7
145,6
146,7
147,9
148,5
149,5
150,6
151,11
152,9
153,17
154,31
155,8
156,14
157,6
158,8
159,10
160,39
161,44
162,9
163,6
164,9
165,27
166,11
167,5
168,34
169,39
170,7
171,7
172,15
173,7
174,45
175,12
176,9
177,8
178,11
179,14
180,14
181,17
182,10
183,46
184,20
185,6
186,17
187,50
188,8
189,10
190,8
191,18
192,11
193,15
194,5
195,15
196,8
197,10
198,16
199,6
200,5
201,7
202,5
203,5
204,7
205,9
206,6
207,15
208,8
209,11
210,5
211,12
212,18
213,7
214,5
215,8
216,5
217,24
218,5
219,22
220,5
221,23
222,7
223,20
224,4
225,18
226,12
227,9
228,25
229,9
230,6
231,17
232,9
233,11
234,5
235,8
236,7
237,20
238,5
239,9
240,8
241,6
242,60
243,13
244,7
245,28
246,19
247,5
248,5
249,5
250,8
251,7
252,5
253,22
254,6
255,7
256,5
257,5
258,5
259,3
260,7
261,5
262,8
263,5
264,11
265,16
266,5
267,6
268,18
269,30
270,3
271,9
272,11
273,5
274,7
275,10
276,6
277,5
278,5
279,7
280,6
281,5
282,4
283,4
284,6
285,4
286,11
287,5
288,13
289,12
290,5
291,58
292,5
293,17
294,9
295,17
296,5
297,5
298,5
299,9
300,6
301,5
302,4
303,11
304,5
305,7
306,5
307,5
308,7
309,19
310,7
311,3
312,5
313,7
314,4
315,5
316,13
317,5
318,5
319,17
320,11
321,18
322,5
323,4
324,5
325,11
326,1
327,6
328,5
329,6
330,10
331,7
332,4
333,6
334,10
335,6
