,PC1_loading,PC2_loading,abs_PC1
steps_mean,0.25013969369467653,0.1397262691516353,0.25013969369467653
ruminate_mean,-0.24773220361655007,0.12330786392596983,0.24773220361655007
steps_p90,0.24592203013382802,0.1358927502471156,0.24592203013382802
ruminate_median,-0.2420186393430716,0.11159064132411584,0.2420186393430716
walk_mean,0.2360293513777922,0.11952701049768685,0.2360293513777922
steps_iqr,0.23585309485184333,0.13374470999638852,0.23585309485184333
walk_p90,0.232311012029756,0.11808066401906184,0.232311012029756
steps_std,0.21511480369242603,0.11886942726455066,0.21511480369242603
steps_median,0.212067075147608,0.11846951604094653,0.212067075147608
walk_std,0.2115613846225866,0.11337970577555782,0.2115613846225866
ruminate_p90,-0.21093146207316865,0.11265753719898039,0.21093146207316865
walk_iqr,0.20631961944332014,0.0974410008900607,0.20631961944332014
ruminate_cv,0.17199482901134122,-0.11090748704253105,0.17199482901134122
rest_p90,0.16914997588833527,-0.19677490220436353,0.16914997588833527
walk_max,0.16907832657716398,0.09916166178156399,0.16907832657716398
rest_mean,0.16221249584504582,-0.21920660774154296,0.16221249584504582
rest_median,0.1566457629553581,-0.21232384953826874,0.1566457629553581
ruminate_p10,-0.1557906307425799,0.09221288957325086,0.1557906307425799
rest_iqr,0.15170682293531468,-0.10548025526143982,0.15170682293531468
steps_max,0.14902031777024333,0.07997895972082986,0.14902031777024333
rest_std,0.14865949903967154,-0.13142928086809832,0.14865949903967154
walk_cv,-0.1465793575900391,-0.09594882537040225,0.1465793575900391
ruminate_max,-0.14540608564113788,0.08543638439837883,0.14540608564113788
ruminate_std,-0.138601799150887,0.07558805839555544,0.138601799150887
walk_median,0.13639147564929047,0.061396675299370866,0.13639147564929047
rest_cv,-0.12984673849441675,0.17443547802855255,0.12984673849441675
rest_max,0.10128558457379803,-0.1265841416889809,0.10128558457379803
rest_p10,0.08014703290045981,-0.17641048829333772,0.08014703290045981
steps_p10,0.0792194860517279,0.034035808609942604,0.0792194860517279
ruminate_iqr,-0.0693824015166222,0.06187023581264401,0.0693824015166222
graze_median,-0.048574377022380585,-0.0924571927355417,0.048574377022380585
eat_iqr,0.048363118632148684,0.22608424104058888,0.048363118632148684
graze_iqr,-0.04684828993592287,-0.13330537051235264,0.04684828993592287
rest_min,0.041565449532840304,-0.09542883552825104,0.041565449532840304
eat_cv,0.033234413009674425,-0.1432042743071658,0.033234413009674425
steps_cv,0.02747157650825452,-0.02334954821039632,0.02747157650825452
graze_mean,-0.023609312757710454,-0.1435314947711138,0.023609312757710454
eat_std,0.022428712227592164,0.2269366549527977,0.022428712227592164
eat_p10,-0.02126723730862732,0.1606749437997443,0.02126723730862732
eat_max,-0.020626650341400866,0.20349500415212202,0.020626650341400866
eat_median,0.020183994429949663,0.2535430153157285,0.020183994429949663
ruminate_min,-0.019761341001984702,0.025241961129244747,0.019761341001984702
eat_min,0.016465142347395587,0.040725555587375624,0.016465142347395587
walk_p10,0.01462425992759389,0.014173230393451525,0.01462425992759389
eat_mean,0.013798254049037567,0.2765322493032227,0.013798254049037567
eat_p90,0.013072750441205715,0.2558668194427606,0.013072750441205715
graze_cv,-0.010215880686443019,0.08507763314037446,0.010215880686443019
graze_p90,-0.009057115851692686,-0.1440210628253331,0.009057115851692686
graze_max,0.008092112149402099,-0.12167144314434535,0.008092112149402099
graze_min,-0.003496827118327771,-0.002424686717888803,0.003496827118327771
graze_p10,-0.0032385173475342707,-0.0029704254119816064,0.0032385173475342707
graze_std,0.001741487819241994,-0.1440746717540268,0.001741487819241994
walk_min,0.0,0.0,0.0
steps_min,0.0,0.0,0.0
