algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.37037204978727223,1.1294795430981606,3850.470535698274
kmeans,k=3,3,0,0.3661378518969732,0.92682246903678,4417.056811448559
kmeans,k=4,4,0,0.3645867734056675,0.8719255031376507,4486.951729013873
kmeans,k=5,5,0,0.353387780651448,0.9013931586201291,4458.2486265341795
kmeans,k=6,6,0,0.3555405217271429,0.822607126389484,4646.953910487391
agglomerative,k=2,2,0,0.2660891061389594,1.2590595701559464,2747.1540103786165
agglomerative,k=3,3,0,0.32593965143648157,1.0071727121563072,3508.2875066741913
agglomerative,k=4,4,0,0.2991171905683183,0.8972698155623324,3335.1309467289598
agglomerative,k=5,5,0,0.2912754600581226,0.8509842297519443,3433.4253787716616
agglomerative,k=6,6,0,0.2511207637890953,0.9415993015501329,3412.229787937789
gmm,k=2,2,0,0.37504148977985247,1.1657797224099917,3642.594521961665
gmm,k=3,3,0,0.3791703353986314,0.9831865468680699,3201.619422698118
gmm,k=4,4,0,0.34749783065344564,0.8657998537856608,3778.839168181803
gmm,k=5,5,0,0.34247131069039616,0.9253612074240815,3842.1339301887597
gmm,k=6,6,0,0.35360359775999645,0.8313058874113713,4471.094272810733
dbscan,"eps=0.125, min_samples=5 (p50)",138,2738,-0.24416432625353962,0.6787083511946195,86.73110746322152
dbscan,"eps=0.183, min_samples=5 (p75)",71,1366,-0.40511164191891486,0.649715310500194,41.52484730193455
dbscan,"eps=0.297, min_samples=5 (p90)",22,518,-0.1397190882684775,0.5646003928417418,47.22024597167697
dbscan,"eps=0.188, min_samples=10 (p50)",37,2723,-0.37643404590585483,0.6793313270488995,48.48029454730806
dbscan,"eps=0.277, min_samples=10 (p75)",12,1368,-0.29095576973133297,0.5949305555056867,39.64618659110952
dbscan,"eps=0.435, min_samples=10 (p90)",5,478,-0.009214469410092867,0.5829896053638206,36.51558389951313
