algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.3959905505180359,1.025151485237161,5422.584357890883
kmeans,k=3,3,0,0.411904513835907,0.8503948612428313,6301.95248612703
kmeans,k=4,4,0,0.40401163697242737,0.8398876050648032,6618.971301483176
kmeans,k=5,5,0,0.3934215009212494,0.8530655063208747,6568.385495842873
kmeans,k=6,6,0,0.39645567536354065,0.7859148966205537,6509.595229029197
agglomerative,k=2,2,0,0.37751707434654236,1.0207503469488768,5016.7124464001035
agglomerative,k=3,3,0,0.343217134475708,1.0394859243170314,5099.37651998738
agglomerative,k=4,4,0,0.3352271318435669,0.9158917630330625,5084.720932555136
agglomerative,k=5,5,0,0.3671993613243103,0.8862310860071055,5978.049367870673
agglomerative,k=6,6,0,0.3570539355278015,0.8484746950284711,5700.422618007979
gmm,k=2,2,0,0.3929307758808136,1.023811555275003,5363.140515136934
gmm,k=3,3,0,0.405118852853775,0.8648130233183619,6073.447191589581
gmm,k=4,4,0,0.400576114654541,0.8388424842554388,6440.732424738668
gmm,k=5,5,0,0.32141485810279846,1.047110996453445,4752.895093596071
gmm,k=6,6,0,0.3414055109024048,0.9198177711063474,4807.000038615681
dbscan,"eps=0.087, min_samples=5 (p50)",308,2329,0.37614327669143677,0.6327301570880924,7061.132753569731
dbscan,"eps=0.112, min_samples=5 (p75)",141,825,-0.009589259512722492,0.7691780315322739,1349.2771117621662
dbscan,"eps=0.141, min_samples=5 (p90)",41,231,-0.46093130111694336,0.8828293914026427,118.96233511361535
dbscan,"eps=0.136, min_samples=10 (p50)",113,1781,0.2817481458187103,0.6778497347157478,3676.5642930143713
dbscan,"eps=0.167, min_samples=10 (p75)",49,525,-0.4087528884410858,0.7802718824872352,113.75445815831375
dbscan,"eps=0.202, min_samples=10 (p90)",16,130,-0.4058157801628113,0.78889325109109,171.8455304619911
