,PC1_loading,PC2_loading,abs_PC1
rest_mean,0.2775536412500731,-0.1454251017247083,0.2775536412500731
rest_median,0.2686061533694627,-0.14203668168234418,0.2686061533694627
rest_p90,0.26199094511643595,-0.13941275207656095,0.26199094511643595
ruminate_mean,-0.24052778175245693,0.13494986618509625,0.24052778175245693
ruminate_median,-0.22729970940835484,0.12957702586087907,0.22729970940835484
rest_cv,-0.22205742761482378,0.13227594175488758,0.22205742761482378
eat_mean,-0.22139608774643751,-0.1886128664175953,0.22139608774643751
ruminate_p90,-0.21298562755716638,0.15625509474947719,0.21298562755716638
eat_p90,-0.20299693410355318,-0.22486746280400438,0.20299693410355318
eat_median,-0.20029662805821924,-0.13600448499125192,0.20029662805821924
rest_p10,0.1958022208951747,-0.09275024265943131,0.1958022208951747
rest_std,0.1943038272957436,-0.10656557995747945,0.1943038272957436
ruminate_cv,0.18657286791192174,-0.06077480431088854,0.18657286791192174
eat_max,-0.17772574801088986,-0.18019027746917365,0.17772574801088986
rest_iqr,0.17379936652215233,-0.10564984277854336,0.17379936652215233
eat_std,-0.17314889768346703,-0.2354874762142884,0.17314889768346703
rest_max,0.16482934820627768,-0.09464689188778887,0.16482934820627768
ruminate_p10,-0.1608113136145984,0.005535864110083979,0.1608113136145984
eat_iqr,-0.15908192123103082,-0.2250559636839403,0.15908192123103082
ruminate_max,-0.15368740182414317,0.11399489182061709,0.15368740182414317
eat_p10,-0.14669741131853198,-0.030565464325781302,0.14669741131853198
ruminate_std,-0.14371418266369562,0.16416182199812068,0.14371418266369562
eat_cv,0.14023764991688087,-0.046248521886598504,0.14023764991688087
graze_std,0.11355632447586163,0.283481736158694,0.11355632447586163
graze_p90,0.10742023982650471,0.2933122748087616,0.10742023982650471
rest_min,0.1045906673408835,-0.038057997319277,0.1045906673408835
graze_max,0.0993993803977265,0.24169212316146757,0.0993993803977265
graze_mean,0.09894582889066787,0.30462444763566343,0.09894582889066787
ruminate_iqr,-0.09470423134786975,0.14272323299201933,0.09470423134786975
graze_iqr,0.07810200578416225,0.3007067107369492,0.07810200578416225
graze_cv,-0.0709873131311908,-0.19762949686585504,0.0709873131311908
graze_median,0.04478923481244672,0.2336770523591144,0.04478923481244672
ruminate_min,-0.032094824165215884,-0.0010358539540373025,0.032094824165215884
walk_iqr,0.02631028885045951,-0.04679228162467561,0.02631028885045951
eat_min,-0.025836751235764604,-0.006236704136806993,0.025836751235764604
walk_mean,0.022336624824929256,-0.041749809321609925,0.022336624824929256
walk_p90,0.02196402717817792,-0.04757722699751682,0.02196402717817792
walk_median,0.019838042838601827,-0.02606066217260453,0.019838042838601827
walk_std,0.013946412202304437,-0.026203191347547145,0.013946412202304437
walk_p10,-0.004663421197341339,-0.0033799990904335333,0.004663421197341339
walk_cv,0.004388933719615817,0.025226294701930375,0.004388933719615817
walk_max,0.003419418487848018,-0.014668709720628835,0.003419418487848018
graze_p10,0.0003633279904610937,0.012564571874380502,0.0003633279904610937
graze_min,-0.00025158265619644894,0.012778781872149966,0.00025158265619644894
walk_min,0.0,-0.0,0.0
