algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.2652752741828052,1.561732798993798,2251.7098039995926
kmeans,k=3,3,0,0.2812176809524288,1.331624639121891,2354.228178353064
kmeans,k=4,4,0,0.2956933990652235,1.0882129245220085,2447.2852454117406
kmeans,k=5,5,0,0.26397979209198136,1.1412605749382243,2434.100461879553
kmeans,k=6,6,0,0.24352205016645007,1.135197488843813,2352.801964491777
agglomerative,k=2,2,0,0.14818397341323333,1.5326131835615966,1485.3370926136963
agglomerative,k=3,3,0,0.16811766346389814,1.4117982423391673,1703.0858575791228
agglomerative,k=4,4,0,0.20690786934353572,1.242262123300771,1921.6822002380432
agglomerative,k=5,5,0,0.21437640518078419,1.1865151246029237,1972.5125798280337
agglomerative,k=6,6,0,0.1971937192679642,1.32559830744502,1930.2580194437169
gmm,k=2,2,0,0.2970211925553435,1.887832294858101,1257.9720599797383
gmm,k=3,3,0,0.22749273812780932,1.5604378564729624,1796.5502779988904
gmm,k=4,4,0,0.22901111089184084,1.3457052433021235,1697.0651947773338
gmm,k=5,5,0,0.13009452896963697,2.0805171856158013,1292.5366504887636
gmm,k=6,6,0,0.06751998905533077,2.1043239433325414,1169.3992514499396
dbscan,"eps=0.287, min_samples=5 (p50)",43,2808,-0.41546438405755043,0.9025314568724595,31.81394793298923
dbscan,"eps=0.400, min_samples=5 (p75)",20,1268,-0.1384935059234186,0.7070573465669805,59.51688345927566
dbscan,"eps=0.565, min_samples=5 (p90)",9,427,0.04140509823641343,0.5809492238658245,91.25036283102666
dbscan,"eps=0.360, min_samples=10 (p50)",7,2656,-0.22271091684231265,0.8825229121925737,130.20406154945655
dbscan,"eps=0.495, min_samples=10 (p75)",4,1154,0.2015744858656831,0.5921704577209503,215.57721849624986
dbscan,"eps=0.701, min_samples=10 (p90)",3,369,0.3155332738046579,0.5272180364353241,287.71594592483973
