algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.34473564925693756,1.180007828662605,3664.8189786847993
kmeans,k=3,3,0,0.37286824458460915,0.8911239608602077,4442.936728601735
kmeans,k=4,4,0,0.36066424006976133,0.8905275787394015,4545.308003983962
kmeans,k=5,5,0,0.33048799247239846,0.9161581236850838,4322.329765859594
kmeans,k=6,6,0,0.33300849928156767,0.8280392212489982,4480.20540620363
agglomerative,k=2,2,0,0.31253023836541916,1.322053123319635,3006.91857446477
agglomerative,k=3,3,0,0.35188170476648195,0.9288676108299242,3826.4340192350496
agglomerative,k=4,4,0,0.3031761475520224,0.9680698140263552,3877.2756725920076
agglomerative,k=5,5,0,0.3055340815355007,0.8441038904139433,3731.8526089807438
agglomerative,k=6,6,0,0.2609009484238109,0.8392787799283942,3722.9866951227777
gmm,k=2,2,0,0.355590918606718,1.2474089605830394,3274.9430810918598
gmm,k=3,3,0,0.3734762977600429,0.9201898888376069,3859.441099023944
gmm,k=4,4,0,0.3587693495687022,0.8884319977467005,4416.059728155757
gmm,k=5,5,0,0.32595581727560574,0.9560046557723311,4033.3861771538063
gmm,k=6,6,0,0.29742193417283336,0.9894609536747546,3839.0250600628915
dbscan,"eps=0.054, min_samples=5 (p50)",170,2598,-0.21255484985920714,0.662143349340163,111.28725857397966
dbscan,"eps=0.079, min_samples=5 (p75)",104,1271,-0.3491476273169412,0.649804063529094,45.241689949076495
dbscan,"eps=0.125, min_samples=5 (p90)",29,511,-0.27594171587135635,0.584462672868973,63.82705675901004
dbscan,"eps=0.082, min_samples=10 (p50)",28,2617,-0.4373103785451485,0.6450241613511636,100.94114097412465
dbscan,"eps=0.120, min_samples=10 (p75)",16,1282,-0.3248252406214488,0.5890383853133141,105.87059276393312
dbscan,"eps=0.186, min_samples=10 (p90)",7,469,0.23455984322673198,0.5779519000298189,191.4198702563532
