cluster,celso_horario,ruibal_horario
-1,1437,857
0,12,0
1,20,2
2,29,1
3,43,13
4,13,1
5,21,1
6,12,2
7,19,2
8,31,6
9,8,2
10,26,10
11,13,6
12,11,5
13,22,19
14,5,4
15,16,1
16,25,13
17,5,3
18,43,27
19,18,0
20,8,12
21,14,14
22,5,2
23,4,5
24,5,4
25,5,0
26,11,1
27,5,9
28,10,10
29,16,11
30,4,2
31,10,22
32,29,1
33,5,1
34,11,32
35,14,6
36,11,44
37,5,14
38,18,38
39,9,11
40,8,19
41,8,17
42,2,7
43,2,13
44,8,16
45,1,7
46,15,7
47,12,4
48,69,6
49,32,6
50,14,0
51,23,0
52,7,6
53,8,5
54,23,15
55,11,5
56,11,4
57,6,0
58,14,0
59,2,8
60,39,2
61,5,0
62,12,1
63,10,2
64,3,0
65,5,1
66,6,1
67,5,1
68,5,3
69,11,19
70,35,3
71,9,4
72,4,2
73,12,3
74,8,7
75,15,1
76,1,5
77,6,3
78,4,1
79,6,3
80,11,12
81,4,3
82,10,3
83,6,4
84,6,8
85,13,6
86,7,5
87,18,7
88,26,1
89,12,20
90,13,0
91,10,1
92,8,3
93,3,4
94,20,4
95,24,3
96,4,1
97,5,3
98,13,10
99,16,3
100,15,3
101,41,0
102,6,9
103,9,6
104,2,5
105,18,2
106,7,4
107,57,21
108,30,2
109,19,0
110,16,0
111,25,12
112,9,6
113,38,9
114,12,0
115,7,13
116,47,6
117,8,10
118,2,8
119,6,3
120,4,2
121,16,24
122,3,2
123,4,1
124,11,1
125,2,6
126,1,4
127,16,26
128,4,24
129,16,0
130,10,0
131,3,12
132,2,6
133,9,17
134,4,29
135,2,7
136,6,6
137,16,4
138,7,0
139,7,6
140,3,3
141,6,30
142,14,17
143,7,2
144,15,8
145,13,4
146,5,0
147,6,1
148,4,3
149,8,5
150,10,8
151,5,0
152,16,3
153,3,3
154,4,2
155,5,1
156,9,4
157,1,1
158,14,6
159,4,7
160,10,2
161,8,5
162,37,0
163,9,4
164,6,5
165,13,0
166,16,2
167,9,3
168,5,1
169,43,4
170,6,0
171,4,10
172,6,5
173,9,1
174,5,3
175,9,5
176,6,2
177,5,2
178,9,6
179,3,4
180,11,0
181,5,0
182,1,12
183,1,4
184,6,0
185,4,1
186,12,6
187,9,3
188,8,1
189,12,4
190,11,17
191,6,6
192,6,5
193,12,4
194,5,0
195,9,0
196,11,35
197,5,2
198,3,2
199,41,16
200,7,6
201,4,6
202,6,8
203,3,2
204,2,3
205,10,0
206,5,1
207,9,0
208,13,3
209,4,0
210,10,5
211,2,3
212,5,10
213,2,4
214,8,0
215,5,2
216,5,10
217,5,2
218,6,3
219,10,2
220,9,0
221,8,0
222,4,1
223,5,0
224,2,0
225,14,4
226,11,24
227,4,0
228,3,2
229,3,2
230,7,2
231,3,3
232,4,1
233,4,2
234,10,9
235,5,0
236,2,10
237,7,2
238,5,15
239,4,28
240,11,7
241,9,13
242,9,2
243,1,10
244,6,4
245,5,2
246,3,13
247,8,2
248,4,2
249,3,20
250,2,14
251,5,0
252,6,9
253,4,0
254,41,0
255,2,6
256,9,2
257,2,3
258,4,2
259,4,1
260,7,0
261,23,0
262,7,1
263,4,6
264,15,0
265,3,2
266,5,0
267,5,1
268,6,1
269,3,3
270,10,3
271,11,7
272,2,4
273,5,4
274,6,6
275,3,2
276,4,5
277,5,0
278,8,2
279,5,1
280,5,1
281,2,3
282,8,1
283,8,0
284,6,0
285,3,2
286,4,3
287,6,4
288,2,4
289,13,20
290,3,7
291,2,3
292,4,0
293,4,1
294,1,3
295,5,0
296,4,1
297,4,1
298,3,2
299,4,1
300,5,0
301,7,1
302,5,1
303,1,4
304,2,2
305,6,1
306,4,5
307,2,9
308,5,0
309,5,0
310,1,8
311,2,13
312,3,2
313,6,1
314,6,9
315,1,7
316,1,6
317,5,0
318,2,3
319,3,2
320,5,0
321,7,0
322,1,21
323,5,10
324,4,6
325,1,4
326,2,3
327,2,5
328,0,5
329,0,6
330,2,6
331,1,7
332,3,3
333,2,2
334,1,7
335,0,6
336,2,4
337,3,4
338,1,3
339,1,5
340,2,7
341,2,5
342,3,2
343,0,4
344,3,2
345,2,3
346,0,7
347,0,8
348,1,4
349,4,4
350,3,3
351,1,5
352,0,5
353,1,5
354,3,3
355,2,4
356,0,4
357,1,6
358,1,4
359,1,5
360,2,8
361,0,5
362,0,6
363,1,6
364,3,2
365,1,4
366,1,5
367,1,5
368,0,6
369,1,4
370,1,4
371,1,5
372,0,4
373,2,3
374,1,4
