cluster,intensivo
-1,2294
0,12
1,22
2,30
3,56
4,14
5,22
6,14
7,21
8,37
9,10
10,36
11,19
12,16
13,41
14,9
15,17
16,38
17,8
18,70
19,18
20,20
21,28
22,7
23,9
24,9
25,5
26,12
27,14
28,20
29,27
30,6
31,32
32,30
33,6
34,43
35,20
36,55
37,19
38,56
39,20
40,27
41,25
42,9
43,15
44,24
45,8
46,22
47,16
48,75
49,38
50,14
51,23
52,13
53,13
54,38
55,16
56,15
57,6
58,14
59,10
60,41
61,5
62,13
63,12
64,3
65,6
66,7
67,6
68,8
69,30
70,38
71,13
72,6
73,15
74,15
75,16
76,6
77,9
78,5
79,9
80,23
81,7
82,13
83,10
84,14
85,19
86,12
87,25
88,27
89,32
90,13
91,11
92,11
93,7
94,24
95,27
96,5
97,8
98,23
99,19
100,18
101,41
102,15
103,15
104,7
105,20
106,11
107,78
108,32
109,19
110,16
111,37
112,15
113,47
114,12
115,20
116,53
117,18
118,10
119,9
120,6
121,40
122,5
123,5
124,12
125,8
126,5
127,42
128,28
129,16
130,10
131,15
132,8
133,26
134,33
135,9
136,12
137,20
138,7
139,13
140,6
141,36
142,31
143,9
144,23
145,17
146,5
147,7
148,7
149,13
150,18
151,5
152,19
153,6
154,6
155,6
156,13
157,2
158,20
159,11
160,12
161,13
162,37
163,13
164,11
165,13
166,18
167,12
168,6
169,47
170,6
171,14
172,11
173,10
174,8
175,14
176,8
177,7
178,15
179,7
180,11
181,5
182,13
183,5
184,6
185,5
186,18
187,12
188,9
189,16
190,28
191,12
192,11
193,16
194,5
195,9
196,46
197,7
198,5
199,57
200,13
201,10
202,14
203,5
204,5
205,10
206,6
207,9
208,16
209,4
210,15
211,5
212,15
213,6
214,8
215,7
216,15
217,7
218,9
219,12
220,9
221,8
222,5
223,5
224,2
225,18
226,35
227,4
228,5
229,5
230,9
231,6
232,5
233,6
234,19
235,5
236,12
237,9
238,20
239,32
240,18
241,22
242,11
243,11
244,10
245,7
246,16
247,10
248,6
249,23
250,16
251,5
252,15
253,4
254,41
255,8
256,11
257,5
258,6
259,5
260,7
261,23
262,8
263,10
264,15
265,5
266,5
267,6
268,7
269,6
270,13
271,18
272,6
273,9
274,12
275,5
276,9
277,5
278,10
279,6
280,6
281,5
282,9
283,8
284,6
285,5
286,7
287,10
288,6
289,33
290,10
291,5
292,4
293,5
294,4
295,5
296,5
297,5
298,5
299,5
300,5
301,8
302,6
303,5
304,4
305,7
306,9
307,11
308,5
309,5
310,9
311,15
312,5
313,7
314,15
315,8
316,7
317,5
318,5
319,5
320,5
321,7
322,22
323,15
324,10
325,5
326,5
327,7
328,5
329,6
330,8
331,8
332,6
333,4
334,8
335,6
336,6
337,7
338,4
339,6
340,9
341,7
342,5
343,4
344,5
345,5
346,7
347,8
348,5
349,8
350,6
351,6
352,5
353,6
354,6
355,6
356,4
357,7
358,5
359,6
360,10
361,5
362,6
363,7
364,5
365,5
366,6
367,6
368,6
369,5
370,5
371,6
372,4
373,5
374,5
