algoritmo,parametros,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
kmeans,k=2,2,0,0.4512038826942444,0.8889857417169407,7899.92892475568
kmeans,k=3,3,0,0.41531088948249817,0.8638128473194295,7069.992996136401
kmeans,k=4,4,0,0.3957919180393219,0.9332818475225828,7552.8494988434595
kmeans,k=5,5,0,0.3946818709373474,0.8130115761659837,7545.887077944402
kmeans,k=6,6,0,0.3900775909423828,0.8074248634787683,7500.459947233296
agglomerative,k=2,2,0,0.4279159903526306,0.925158445640921,7081.221513848336
agglomerative,k=3,3,0,0.40128499269485474,0.7506548144048922,5861.660888592566
agglomerative,k=4,4,0,0.321999192237854,0.9707396927231458,5612.755473932563
agglomerative,k=5,5,0,0.35582417249679565,0.8977946766548159,6213.635048292127
agglomerative,k=6,6,0,0.3489725589752197,0.9019393783394488,6160.873901016578
gmm,k=2,2,0,0.4510226547718048,0.8901493489815775,7882.49124152849
gmm,k=3,3,0,0.41538748145103455,0.8466395477608796,6915.659033930646
gmm,k=4,4,0,0.3892369270324707,0.9525736553656661,7389.599343174466
gmm,k=5,5,0,0.38606706261634827,0.8140001918523257,7236.023326418317
gmm,k=6,6,0,0.34532374143600464,0.8968564498373466,6566.176293276398
dbscan,"eps=0.103, min_samples=5 (p50)",375,2294,0.48269468545913696,0.560115878655876,14076.574557667778
dbscan,"eps=0.137, min_samples=5 (p75)",218,867,0.20207363367080688,0.7152196322179967,3939.5024814415615
dbscan,"eps=0.180, min_samples=5 (p90)",53,229,-0.3003581762313843,1.293701394856501,905.1752794634782
dbscan,"eps=0.168, min_samples=10 (p50)",163,1792,0.4046497344970703,0.6168794511102761,8086.985860354941
dbscan,"eps=0.212, min_samples=10 (p75)",63,498,0.010691802948713303,1.1429404966029824,1809.4274949168448
dbscan,"eps=0.259, min_samples=10 (p90)",11,125,-0.2209252268075943,0.7654856695258807,924.7105305017799
